R0001	100001|.44 Magnum.1	Provides only only maneuver each combat, even if the bearer changes. [LSJ 19980302-2]
R0478	100519|Delaying Tactics.5	It retrieves the political action card before it is burned (eg. if it was played from {The Erciyes Fragments}, it is still returned into its owner's hand). [LSJ 20050324]
R0479	100519|Delaying Tactics.6	The results are not tallied (eg. {Scorn of Adonis} or {Bribes} have no effect). [LSJ 20010209]
R0480	100519|Delaying Tactics.7	If played on a referendum provided by a card in play (eg. {Anarch Revolt}), does not prevent referendums provided by another copy of the same card in play. [LSJ 20020201]
R0481	100527|Derange.1	Cannot be moved to a Malkavian nor to a Malkavian antitribu vampire. [LSJ 19970224]
R0482	100527|Derange.2	The clan is set when the card is played, it does not depend on the clan of the vampire that has the card on them. [LSJ 20070707]
R0483	100527|Derange.3	Does not change the sect of the target. [RTR 20201130]
R0484	100527|Derange.4	If the target changes clan to a clan inappropriate for his title, he loses its benefit until his clan is appropriate. He immediately yields the title if it is contested or he receives a new one. [RTR 20201130] [LSJ 20060904]
R0485	100527|Derange.5	When removed, the vampire goes back to its underlying clan. [RTR 20201130] [ANK 20200415]
R0486	100527|Derange.6	Only requires one clan or the other (Malkavian or Malkavian antitribu) to be played. [ANK 20190203]
R0487	100527|Derange.7	If another effect also changes the clan (eg. {Clan Impersonation}), the most recent one takes precedenced. [LSJ 20021209]
R0488	100528|Descent into Darkness.1	Breaks any temporary control effects, so the vampire is given, face down and out of play, to his current permanent controller, with the Descent into Darkness card which, as a minion card, is then controlled by that permanent controller. [LSJ 20040526]
R0489	100528|Descent into Darkness.2	Damage inflicted after the action resolution (eg. {Daring the Dawn}) are not applied. [LSJ 20040616]
R0490	100528|Descent into Darkness.3	If played by an ally, the ally can never come back. [LSJ 20060124]
R0491	100528|Descent into Darkness.4	All cards on the vampire come back unlocked. [LSJ 20060908]
R0492	100528|Descent into Darkness.5	The vampire will remember all effects that had been applied to him, just as contested vampires do. This includes gained or lost titles. [RTR 20000501] [LSJ 20060908]
R0493	100528|Descent into Darkness.6	Cards and effects targeting the vampire (eg. {The Rack}) will resume if and when the vampire comes back into play. [TOM 19960211] [LSJ 20010809-2] [LSJ 20010809-3] [LSJ 20060908]
R0494	100528|Descent into Darkness.7	If any card on the vampire was contested, it goes out of the contest until the vampire comes back. [LSJ 20080816]
R0495	100532|Detect Authority.1	[ani] If the action fails, modifiers and reactions that can be used at the end/after an action can still be used afterwards. [LSJ 20041022] [RTR 20180719] [ANK 20221205]
R0496	100532|Detect Authority.2	[ani] If the action fails, it has reached resolution, so is subject to NRA (Non Repeatable Action) rules. [RTR 20180719] [ANK 20211015]
R0497	100532|Detect Authority.3	[ani] Not usable against actions targeting an equipment or retainer, they do not target the minion. [LSJ 20090324]
R0498	100536|Deviki Prasanta.1	Cannot put a Discipline card on a vampire if it could normally not be put on him (eg. because he already has the superior level of that discipline). [ANK 20200320]
R0499	100538|Devil-Channel: Feet.1	The press can only be used during the current round. [TOM 19960521]
R0500	100541|Día de los Muertos.1	During the referendum that passes automatically, no "during a political action" and "during a referendum" effect can be played and effects that operate on the number of votes that the referendum passed by have no effect. [LSJ 19980107]
R0501	100542|Diabolic Lure.1	[DAI] The opponent burns pool whether or not the pact counters reach capacity. [LSJ 20100205-2] [ANK 20221007]
R0502	100543|Diamond Thunderbolt, The.1	If used to cancel a card that has a "Do Not Replace Until" clause on it, that clause is canceled as well and the card is replaced normally. [LSJ 20011023]
R0503	100543|Diamond Thunderbolt, The.2	If used to cancel the change of control of a {Corruption} action, only the control change is prevented: the corruption counters are burned. [LSJ 20070222-2]
R0504	100543|Diamond Thunderbolt, The.3	The cost of the change of control effect is still paid. Any bids made are paid. Any counters burned are still burned. [LSJ 20040518] [LSJ 20040518-2]
R0505	100543|Diamond Thunderbolt, The.4	Will not extend temporary change of control effects when they expire. [LSJ 20040518] [LSJ 20040518-2]
R0506	100547|Dirty Little Secrets.1	If the Methuselah you are bleeding does not burn any pool due to another effect, then she does not burn any cards from her library either. [LSJ 19970224]
R0507	100548|Dis Pater.1	Only effects played "when the action is/would be successful" can be played afterwards. (eg. {Deflection}, {Archon Investigation} or {Conditioning} can only be used before). [LSJ 20050422]
R0508	100549|Disarm.1	Must be played after the presses are handled and can be played if the round ends prematurely. [RTR 20030519]
R0509	100549|Disarm.2	Environmental damages (eg. {Carrion Crows}) do not count. [LSJ 20010812]
R0510	100549|Disarm.3	Can be played before or after effects that are played at the end of the round or "when the combat would end" (eg. [AUS] {Telepathic Tracking}). Can be played before or after [CEL] {Psyche!}. [LSJ 20021113] [ANK 20191219] [ANK 20180910-1]
R0511	100550|Disarming Presence.1	Locking is a side effect, not a cost. Locked vampires can still vote. [RTR 19941109]
R0512	100550|Disarming Presence.2	Vampires are locked when they cast their votes. [RTR 19970425]
R0513	100551|Discern.1	[REACTION] Can be used only when reactions can be used (unlocked or with a wake effect). It does not count as playing a reaction card. [LSJ 20070403] [LSJ 20070413]
R0514	100555|Disguised Weapon.1	The weapon is announced when the card is played, it must be in hand but need not to be shown. You can put the card apart face down when announcing it. [LSJ 19991207] [ANK 20180925-2]
R0515	100555|Disguised Weapon.2	If used to equip and contest a unique weapon already in play, neither weapon is available for use during the combat. If the opposing minion had already chosen that weapon as his strike, then the strike has no effect. [LSJ 19980319]
R0516	100557|Disputed Territory.1	Requirements do not apply when taking control of a card already in play. [TOM 19960226-1]
R0517	100557|Disputed Territory.2	If used to steal an equipment representing a location, it can be placed on any minion controlled by the new controller. [RTR 19960112]
R0518	100557|Disputed Territory.3	If used to "change" the control of a location or equipment representing a location to the same Methuselah, the location cannot be moved to another minion controlled by the same Methuselah. [LSJ 19971002]
R0519	100558|Dissolution.1	[PRO] The press can only be used during the current round. [TOM 19960521]
R0520	100559|Distant Friend.1	Cannot be burned during a referendum that is automatically passing. [PIB 20150105] [LSJ 19980107]
R0521	100562|Dive into Madness.1	[dem] can be played by a vampire with superior Dementation [DEM]. [PIB 20130311]
R0522	100563|Diversion.1	[tha] can target a vampire with no blood. [RTR 20010711]
R0523	100565|Divine Image.1	[SER] A limited bleed modifier can be played before or after. [LSJ 20100218] [RTR 20180511-2]
R0524	100568|Dog Pack.1	If put on a minion after an opponent as declared a "strike: combat ends" (eg. using {Pack Alpha} or {Summon Spirit Beast}), the opponent's strike has no effect. [ANK 20190412]
R0525	100570|Domain Challenge.1	Locked minions are counted after the referendum is completed. [RTR 19941109]
R0526	100571|Domain of Evernight.1	[tem] Only applies to damage done in combat, not damage done after combat like {Catatonic Fear}. [LSJ 20020314] [PIB 20130319]
R0527	100571|Domain of Evernight.2	[TEM] Is played after resolution, but still during the action. Action modifiers and effects that can be played "after resolution" can be played before or after it. [LSJ 19981028] [ANK 20190425]
R0528	100573|Dominate Kine.1	[DOM] If used to steal an equipment representing a location, it can be placed on any minion controlled by the new controller. [RTR 19960112]
R0529	100575|Donate.1	[REACTION] Can be used only when reactions can be used (unlocked or with a wake effect). It does not count as playing a reaction card. [LSJ 20070403] [LSJ 20070413]
R0530	100576|Donnybrook.1	[ser] can target a minion with less than 2 blood or life. [RTR 20010711]
R0531	100578|Draba.1	[CHI] Effectively gives a -X stealth modifier to the action, where X is the amount of stealth reduced by Draba at the time it was played. [RTR 20030519]
R0532	100578|Draba.2	[CHI] Can be played by a minion who is not attempting to block the action. [ANK 20190628]
R0533	100578|Draba.3	[CHI] Can be played on a minion with no or negative stealth, in which case it has no effect. [LSJ 20021211]
R0534	100578|Draba.4	If another Methuselah is the target, he must declare whether he attempts or declines to block before Draba can be used ([chi]) or played ([CHI]). [ANK 20200607]
R0535	100579|Draeven Softfoot.1	He can lock to use his ability the turn he is recruited. [ANK 20180517]
R0536	100580|Dragon's Breath Rounds.1	Does not burn the gun if combat ends before the strike resolves (eg. {Rötschreck} or if the opponent uses a "strike: combat ends"). [LSJ 19981006] [LSJ 20001127-2]
R0537	100582|Drain Essence.1	Can target a minion with less blood or life than the amount stolen. [RTR 20010711]
R0538	100584|Draught of the Soul.1	[COMBAT] If a minion is burned in combat, his opponent his always considered to have burned him. [LSJ 20090922]
R0539	100584|Draught of the Soul.2	[ACTION MODIFIER] If the minion is burned because of a referendum or as a side-effect of the action, this does not count as the acting minion burning him. (eg. {War Ghoul} when recruited, {Brigitte Gebauer} using her last life, {Kamiri wa Itherero}'s ability). [RTR 19960124] [LSJ 20090922] [ANK 20181022]
R0540	100584|Draught of the Soul.3	[ACTION MODIFIER] If played on a diablerie, can be played before or after getting a Discipline card (if any), but must be played before the Blood Hunt. [RTR 19991206]
R0541	100585|Drawing Out the Beast.1	[ANI] The additional damage done during the press step is environmental. [RTR 19970630]
R0542	100588|Dreams of the Sphinx.1	Cannot move blood to Imbued in the uncontrolled region. [LSJ 20070516]
R0543	100588|Dreams of the Sphinx.2	Cannot be used when a card is played to draw a card that would cancel it "as it is played". [RTR 20040501]
R0544	100588|Dreams of the Sphinx.3	Cards that are not replaced count against the hand size. [ANK 20180318]
R0545	100588|Dreams of the Sphinx.4	The hand size bonus ends during the discard phase, it can be ordered as the acting Methuselah wishes against other end-of-turn and discard phase effects, following normal sequencing rules. [LSJ 20020904-2]
R0546	100589|Drink the Blood of Ahriman.1	During the unlock phase, the controller chooses between burning 1 blood or the card. Reversal of previous rulings. [ANK 20220503]
R0547	100591|Drum of Xipe Totec.1	The minion cannot use the discipline nor the maneuver provided if some effect prevents him to use the equipment (eg. {Drawing Out the Beast}). [RTR 20010710]
R0548	100592|Dual Form.1	[PRO] A vampire's capacity can never be reduced below one. [RTR 19990712]
R0549	100592|Dual Form.2	[PRO] The disciplines are copied when the action resolves, including any additional disciplines (eg. {Seal of Veddartha}). Disciplines gained after the action are not copied. [ANK 20170226]
R0550	100592|Dual Form.3	[PRO] Only the clan, sect, capacity and disciplines are copied. Titles and other traits like Infernal or Scarce are not. [LSJ 20050116]
R0551	100592|Dual Form.4	[PRO] The reduction in capacity happens first: the copy also has a reduced capacity. [LSJ 20050116]
R0552	100592|Dual Form.5	[PRO] If one of the pair leaves the ready region, the other is burned. That burning of the other won't cause the first to burn. [LSJ 20050117]
R0553	100592|Dual Form.6	[PRO] If they are more than two Dual Forms of the same vampires, all the others are burned when one leaves the ready region, whatever chain they form. [LSJ 20050117]
R0554	100592|Dual Form.7	[PRO] If more than one go to torpor at the same time (eg. from {Edged Illusion}), the controller chooses which one they keep. [LSJ 20050805]
R0555	100592|Dual Form.8	[PRO] The reduction in capacity is permanent, even if the Dual Form is burned. It still applies in the uncontrolled region if the vampire gets back into it. [LSJ 20051103]
R0556	100596|Dust to Dust.1	The press and maneuver can only be used during the current round. [TOM 19960521]
R0557	100597|Dust Up.1	[ani] [pot] Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0558	100597|Dust Up.2	[cel] The additional strike is not optional: you cannot play it for the dodge only if you already played it for a (limited) additional strike this round. [ANK 20220204]
R0559	100597|Dust Up.3	[ani] Does not prevent the opponent from dodging, the dodge just has no effect. [LSJ 20030902-2] [LSJ 20060808-1]
R0560	100598|Eagle's Sight.1	[AUS] Only affects the rule restricting who gets to block an action. The vampire must still meet all other requirements to block. In particular, {Blood Bond}, {Day Operation}, {Seduction} and prior decision not to block are not circumvented. [RTR 19950413] [RTR 20020501]
R0561	100598|Eagle's Sight.2	[AUS] Only applies to one block attempt. If the action later continues as if unblocked (eg.{Form of Mist}), another one is needed. [LSJ 20030227]
R0562	100601|Earth Meld.1	[PRO] The vampire still unlocks if an effect continues the combat or begins a new combat. [RTR 20020501]
R0563	100604|Earthshock.1	Can be used at long range to target a retainer, even if their employer has flight [FLIGHT]. [LSJ 20060509]
R0564	100604|Earthshock.2	Does not prevent the opponent from dodging, the dodge just has no effect. [LSJ 20030902-2] [LSJ 20060808-1]
R0565	100607|Eccentric Billionaire.1	The "lock to reduce the cost" effect can be used when the action is announced or when the cost is paid. [LSJ 20090705] [ANK 20170605]
R0566	100607|Eccentric Billionaire.2	He can lock to use his ability the turn he is recruited. [ANK 20180517]
R0567	100608|Echo of Harmonies.1	[mel] [MEL] Can only be played by the controller of the acting minion. [LSJ 19990425]
R0568	100608|Echo of Harmonies.2	[mel] [MEL] Can be played by a locked vampire. [LSJ 19980210]
R0569	100608|Echo of Harmonies.3	[mel] [MEL] Multiple copies can be played by different minions on the same action. [ANK 20200515]
R0570	100608|Echo of Harmonies.4	[MEL] Cannot be used if no political action card was played or if it is not in the ash heap (eg. cannot retrieve a {National Guard Support} when its text is used to burn it). [LSJ 20020911]
R0571	100608|Echo of Harmonies.5	[MEL] The effect is lost if the political action card is not in the ash heap when it resolves (eg. if {Delaying Tactics} is used}). [LSJ 20050804]
R0572	100608|Echo of Harmonies.6	[MEL] When the retained political action is played, requirements must be met, it provides 1 vote and can be canceled as it is played. [LSJ 20100426] [LSJ 20091128] [LSJ 20011205]
R0573	100608|Echo of Harmonies.7	[MEL] The retained political action cannot be played with {Charming Lobby}. [ANK 20201029]
R0574	100610|Ecstasy.1	[SER] The acting player decides the order of (and can play other) "after resolving the action" effects. [ANK 20180206]
R0575	100615|Edged Illusion.1	[CHI] If some minions cannot be targeted because of another effect, the action will simply have no effect on the things it cannot target. [RTR 20080808]
R0576	100618|Elder Intervention.1	Can be used during any bleed attempt made against you, not just ones declared against you. [RTR 19960530]
R0577	100620|Elder Library.1	If there is another copy in play, it enters contest without modifying the hand size. [ANK 20221028]
R0578	100623|Eldest Command Undeath, The.1	If you play {Voter Captivation} on the referendum, you can move up to 2 counters to your pool, and 0 to your vampire. [LSJ 20081002]
R0579	100625|Elemental Stoicism.1	[for] Cannot be used if there is no damage to prevent. [LSJ 20001114]
R0580	100627|Elixir of Distillation.1	Does not burn if combat ends before it resolves. [LSJ 20001127-2] [LSJ 20010806-1] [LSJ 19981006]
R0581	100628|Eluding the Arms of Morpheus.1	Can be used by a vampire who is already attempting to block. [ANK 20181122-2]
R0582	100628|Eluding the Arms of Morpheus.2	Cannot be used if the vampire cannot attempt to block the action (eg. {Daring the Dawn}). [LSJ 20010714-2]
R0583	100631|Elysium: The Arboretum.1	When ending combat, cards that are played at the end of round/combat can still be played (eg. {Taste of Vitae}, {Disarm}). [RTR 20001020] [LSJ 20001024]
R0584	100634|Emerald Legionnaire.1	His ability cannot be used from the ash heap, he needs to be ready. [ANK 20180511-1]
R0585	100634|Emerald Legionnaire.2	When using his ability to put another one into play, it does not require a ready Harbinger, the pool cost of the new one is not paid, the new one can act this turn and can use his ability to bring another one immediately. [ANK 20180509]
R0586	100635|Emergency Powers.1	The burn option can be used if all your Seraph are in torpor. [LSJ 20091203]
R0587	100639|Empowering the Puppet King.1	Can only be played by the controller of the acting minion. [LSJ 19990425]
R0588	100641|Enchanted Marionette.1	The effect is not optional. [RTR 19980707] [LSJ 19980722]
R0589	100645|Enkil Cog.1	If locked to take an action and the action is canceled as it is played (not if it is canceled after, eg. with {Tangle Atropos' Hand}), it stays locked and the minion can choose to take an action again or let the Cog effect be lost. [LSJ 20081213-1] [ANK 20210124]
R0590	100646|Ennoia's Theater.1	Only requires one clan or the other (Gangrel or Gangrel antitribu) to be played. [ANK 20190203]
R0591	100646|Ennoia's Theater.2	Can be used at any moment during the influence phase to get the additional transfer. [RTR 20180303]
R0592	100647|Enrage.1	[PRE] If the vampire cannot burn 2 blood, he cannot attempt an action other than hunt or enter combat. [ANK 20180327]
R0593	100647|Enrage.2	[PRE] If the vampire it is on attempts an action and it is canceled (eg. {Direct Intervention}) they do not burn 2 blood. [LSJ 20090208]
R0594	100648|Ensconced.1	[VIS][REACTION] The action still continues until the end of combat. The acting minion stays the same, effects applied during the action still applies during combat. [LSJ 20070217]
R0595	100648|Ensconced.2	[VIS][REACTION] Modifiers and reactions that can be used at the end/after an action can still be used after combat. [LSJ 20041022] [RTR 20180719] [ANK 20221205]
R0596	100648|Ensconced.3	[VIS][REACTION] The action has reached resolution, so is subject to NRA (Non Repeatable Action) rules. [RTR 20180719] [ANK 20211015]
R0597	100650|Enticement.1	Is directed at your prey. [LSJ 20010807]
R0598	100650|Enticement.2	If the edge is lost during the action (eg. {High Priest Angra Mainyu}), the prey takes no damage but you still cannot bleed anymore this turn. [LSJ 20100527]
R0599	100651|Entombment.1	Only effective at close range. [RBK resolve-strike] [LSJ 20000110]
R0600	100651|Entombment.2	[OBT] The opponent is wounded (if they play {Undying Tenacity}, they go to torpor after combat). [LSJ 20090622-2]
R0601	100656|Erciyes Fragments, The.1	Cannot be used when a card is played to draw a card that would cancel it "as it is played". [RTR 20040501]
R0602	100656|Erciyes Fragments, The.2	If used to play a political action and {Delaying Tactics} is played, the political action card goes to its owner's hand. [LSJ 20050322]
R0603	100656|Erciyes Fragments, The.3	All other players can see which card is selected from the ash heap. [ANK 20200523]
R0604	100656|Erciyes Fragments, The.4	The card on it cannot be discarded or burned to satisfy another effect (eg. {Tension in the Ranks}). [LSJ 20050118]
R0605	100658|Erosion.1	Erosion resets a minion's base strength. Any modifiers, including inherent modifiers, are applied to the new base. If another effect like {Torn Signpost} later resets the base damage again, then the new amount wins out. [LSJ 19971211-2]
R0606	100661|Escaped Mental Patient.1	Must choose when declaring strike between a normal hand strike or the aggravated hand strike his ability gives him. [ANK 20190717-2]
R0607	100661|Escaped Mental Patient.2	Does not burn at the end of combat if another effect let him make a hand strike at +1 damage. "If he does so" only applies if his own effect is used directly. [LSJ 20001127-2] [RTR 20020501]
R0608	100661|Escaped Mental Patient.3	Does not burn at the end of combat if his strike does not resolve (eg. if his opponent uses a strike: combat ends or {Rötschreck} is played). [LSJ 20001127-2] [LSJ 20010627] [LSJ 20070508]
R0609	100661|Escaped Mental Patient.4	If his strike resolves, he cannot be saved from burning (with eg. {Heaven's Gate} of {Left for Dead}). [LSJ 20070507] [LSJ 20021205]
R0610	100665|Eternal Mask, The.1	You cannot use the effect to burn the card and the vampire if the vampire is no longer in play to be burned. [LSJ 20070928-1]
R0611	100665|Eternal Mask, The.2	You still cannot burn it if the vampire that was brought back was burned and later returned to play. [LSJ 20040726] [ANK 20191031]
R0612	100665|Eternal Mask, The.3	[SER] is not a directed action, even when targeting another Methuselah's ash heap. [LSJ 20010627] [ANK 20181129]
R0613	100665|Eternal Mask, The.4	If The Eternal Mask is burned by something else than its own effect (including when the vampire it is on is burned), the vampire that has been brought back is unaffected. [LSJ 20071206] [LSJ 20090725]
R0614	100666|Eternal Vigilance.1	Cannot be used if the vampire cannot attempt to block the action (eg. {Daring the Dawn}). [LSJ 20010714-2]
R0615	100666|Eternal Vigilance.2	When used to block, does not ignore the normal prey, predator or target restrictions. [ANK 20180623]
R0616	100666|Eternal Vigilance.3	The block attempt and subsequent combat still happen if the action lacks a suitable target because of the unlock (eg. {Ambush}). [LSJ 20090514]
R0617	100667|Eternals of Sirius, The.1	Pay the cost at the same time you gain pool from it, you do not get ousted in between (ie. can be played when at 4 pool). [LSJ 20020620] [LSJ 20080612]
R0618	100667|Eternals of Sirius, The.2	You must be able to pay the cost to play it (ie. cannot be played when at 3 pool). [ANK 20210714-2]
R0619	100668|Evil Eye.1	The burn option can be used if all your vampires with [mal] are in torpor. [LSJ 20091203]
R0620	100669|Ex Nihilo.1	During the master phase, the controller chooses between paying the blood or burning the vampire. Reversal of previous rulings. [ANK 20220503]
R0621	100669|Ex Nihilo.2	Any effect that would give more blood to the vampire is a gain of blood, so does not apply (eg. {Heidelberg Castle, Germany}). [ANK 20221019-2]
R0622	100669|Ex Nihilo.3	If the owner treats aggravated damage as normal, he is immune to them too. [LSJ 20040120]
R0623	100673|Exile.1	[PRE] You may lock Orun cards the vampire has even if they're not Laibon. [ANK 20221208]
R0624	100675|Extortion.1	Is usable by a locked vampire [LSJ 20010725]
R0625	100676|Extremis Boon.1	The pool of the highest bidder goes to the target Methuselah. The loosers do not lose pool. [LSJ 20031121-1]
R0626	100676|Extremis Boon.2	The starting bid must be enough to keep the target into play. [ANK 20190827]
R0627	100680|Eyes of Argus.1	[AUS] The vampire need not attempt to block nor play further reaction cards: that is merely an option. [TOM 19951129]
R0628	100680|Eyes of Argus.2	[AUS] Can be played after action resolution to use a reaction card (eg. {Fast Reaction} after combat). [LSJ 20091123]
R0629	100683|Eyes of the Beast.1	[PRO] The maneuver is only available during the action in which Eyes of the Beast was played. [ANK 20191108]
R0630	100683|Eyes of the Beast.2	[PRO] If the action is blocked but continues after combat (eg. with {Form of Mist}) and the reacting vampire blocks again, he gets the maneuver again. [ANK 20191108]
R0631	100687|Faceless Night.1	[OBF] A minion attempting to block before it is played cannot back out. [LSJ 20081202]
R0632	100687|Faceless Night.2	[OBF] A minion that has attempted to block but failed before it was played is not affected. [ANK 20190509] [LSJ 20020101]
R0633	100687|Faceless Night.3	[OBF] The aspirant blocker is locked at resolution. He can play {Deflection} before that, and even attempt to block again if it is deflected back. He can play {Guard Dogs} before the lock, not after. [ANK 20171017] [ANK 20230305]
R0634	100690|Faerie Wards.1	[myt], [MYT] Modifiers and reactions that can be used at the end/after an action can still be used afterwards. [LSJ 20041022] [RTR 20180719] [ANK 20221205]
R0635	100690|Faerie Wards.2	[myt], [MYT] The action has reached resolution, so is subject to NRA (Non Repeatable Action) rules. [RTR 20180719] [ANK 20211015]
R0636	100694|Falcon's Eye.1	[ani] The burn blood effect is not reduced by effects that reduce the cost of the card (eg. {Dragos}). The card cannot be played if the minion cannot afford to burn the blood. [ANK 20210226]
R0637	100694|Falcon's Eye.2	[SPI] Only affects the rule restricting who gets to block an action. The vampire must still meet all other requirements to block. In particular, {Blood Bond}, {Day Operation}, {Seduction} and prior decision not to block are not circumvented. [RTR 19950413] [LSJ 20020112] [RTR 20020501]
R0638	100694|Falcon's Eye.3	[SPI] Only applies to one block attempt. If the action later continues as if unblocked (eg.{Form of Mist}), another one is needed. [LSJ 20030227]
R0639	100695|Fall of the Camarilla.1	Cards that change a vampire's sect to Camarilla can still be played, but he becomes Independent until the Fall is removed from play. [LSJ 20040519]
R0640	100695|Fall of the Camarilla.2	Is a temporary effect that overrides the underlying sect. The most recent override takes precedence, but if a more recent would set the sect to Camarilla, it sets it to Independent instead while the Fall is in play. If the Fall leaves play, the vampire retrieves his underlying sect. [LSJ 20080510] [LSJ 20100811] [ANK 20190619]
R0641	100695|Fall of the Camarilla.3	Vampires with a Camarilla title lose the benefit from it until they becomre Camarilla again. They immediately yield the title if it is contested or if they receives a new one. [LSJ 20060904]
R0642	100695|Fall of the Camarilla.4	An "impersonator" (eg. {Vlad Tepes}) can still play cards requiring Camarilla or a Camarilla title. [LSJ 20050124] [ANK 20230503]
R0643	100696|Fall of the Sabbat.1	Cards that change a vampire's sect to Sabbat can still be played, but he becomes Independent until the Fall is removed from play. [LSJ 20040519]
R0644	100696|Fall of the Sabbat.2	Is a temporary effect that overrides the underlying sect. The most recent override takes precedence, but if a more recent would set the sect to Sabbat, it sets it to Independent instead while the Fall is in play. If the Fall leaves play, the vampire retrieves his underlying sect. [LSJ 20080510] [LSJ 20100811] [ANK 20190619]
R0645	100696|Fall of the Sabbat.3	Vampires with a Sabbat title lose the benefit from it until they becomre Sabbat again. They immediately yield the title if it is contested or if they receives a new one. [LSJ 20060904]
R0646	100696|Fall of the Sabbat.4	An "impersonator" (eg. {Vlad Tepes}) can still play cards requiring Sabbat or a Sabbat title. [LSJ 20050124] [ANK 20230503]
R0647	100697|False Resonance.1	[CHI] Cannot be used to get stealth then cancel the [aus] card that provided intercept to the blocking minion. [ANK 20180201]
R0648	100698|Fame.1	Paying a pool during the unlock phase can be ordered with other unlock effects by the acting Methuselah, but must be handled before another Methuselah has the opportunity to use an unlock effect. [LSJ 20010121]
R0649	100699|Familial Bond.1	Cannot be played if intercept is not required (as per the rules, section 6.2.2). [ANK 20200329]
R0650	100699|Familial Bond.2	A locked vampire cannot use the "lock to fight" effect, even if he uses a wake effect. [PIB 20121107]
R0651	100703|Far Mastery.1	Requirements do not apply when taking control of a card already in play. [TOM 19960226-1]
R0652	100704|Fast Hands.1	Cannot be used if there is no weapon to steal. [RTR 19980928]
R0653	100705|Fast Reaction.1	Effects that end combat and then do something else after combat (include continuing the action as if unblocked) will be lost, except for unlock effects. [LSJ 19980109] [RTR 20020501]
R0654	100705|Fast Reaction.2	Cannot be used to start a new combat if there is already a pending combat queued. [RTR 20020501]
R0655	100705|Fast Reaction.3	The opponent cannot play or use the maneuver from a strike (eg. {.44 Magnum}, {Thrown Gate}), since they cannot strike. [LSJ 20001126]
R0656	100706|Fata Amria.1	[CHI] [REACTION] Is played after resolution, but still during the action. Action modifiers and effects that can be played "after resolution" can be played before or after it. [LSJ 19981028] [ANK 20190425]
R0657	100706|Fata Amria.2	The target can burn it at unlock even if they're already unlocked, but cannot burn it if they do not unlock as normal (eg. {Sensory Deprivation}). [LSJ 20010814-3] [LSJ 20020109]
R0658	100706|Fata Amria.3	Does not prevent the opponent from dodging, the dodge just has no effect. [LSJ 20030902-2] [LSJ 20060808-1]
R0659	100709|FBI Special Affairs Division.1	Does not trigger if the ally is saved by {Left for Dead}. [PIB 20121028]
R0660	100709|FBI Special Affairs Division.2	Does not trigger if the ally is considered the acting minion during the combat (eg. {Nar-Sheptha}). [ANK 20180913-2]
R0661	100709|FBI Special Affairs Division.3	Does trigger if the ally burns by himself at the end of combat (eg. {Escaped Mental Patient}). [LSJ 20100527]
R0662	100710|Fear of Mekhet.1	Can be moved (not played) on a vampire in torpor. [ANK 20210109]
R0663	100711|Fear of the Void Below.1	[dai], [DAI] Affects the range immediately (eg. {Outside the Hourglass} and {Alpha Glint} could be played, but not {Disarm} because the range is long). [LSJ 20100709]
R0664	100718|Feline Saboteur.1	[ANI][OBF] The chosen Methuselah discards, then burn 4 cards, then replace the discarded card. [ANK 20180725]
R0665	100722|Ferraille.1	Do not vote if the cost ousts you. [LSJ 20081105]
R0666	100723|Festivo dello Estinto.1	The hunt bonus applies to non-standard hunt actions, it comes from the blood bank not from the target of the hunt [RTR 20030519]
R0667	100723|Festivo dello Estinto.2	A hunt is not successful if no blood is gained, even if the hunt action is still successful. [LSJ 20050720-2]
R0668	100725|Field Training.1	Is a change of the actual sect. A temporary effect overriding the sect has precedence and if it does, this card burns (eg. {Writ of Acceptance}). [LSJ 20100811]
R0669	100725|Field Training.2	If the target changes sect to a sect inappropriate for his title, he loses its benefit until his sect is appropriate. He immediately yields the title if it is contested or he receives a new one. [LSJ 20060904]
R0670	100725|Field Training.3	The acting vampire must have a superior discipline to choose from. [ANK 20180731-2]
R0671	100728|Filchware's Pawn Shop.1	Cannot be used to replay a card that can be played only once in a game. [LSJ 20040518]
R0672	100730|Final Loosening.1	[for] Modifiers and reactions that can be used at the end/after an action can still be used afterwards. [LSJ 20041022] [RTR 20180719] [ANK 20221205]
R0673	100730|Final Loosening.2	[for] The action has reached resolution, so is subject to NRA (Non Repeatable Action) rules. [RTR 20180719] [ANK 20211015]
R0674	100733|Fire Dance.1	The target vampire is chosen when the action is announced. [RTR 19970425]
R0675	100737|First Tradition: The Masquerade.1	The decision to skip the turn is made before the unlock phase. If the turn is not skipped, other unlock effects (eg. using a {Vessel}) can be ordered by the acting Methuselah before paying for the First Tradition. [ANK 20210110]
R0676	100737|First Tradition: The Masquerade.2	One or the other condition must be met fully for it to be burned. It is not burned if the controller skips two turns and pay 4 pool to play two other. [LSJ 20031011]
R0677	100737|First Tradition: The Masquerade.3	The burn pool effect is cumulative with other copies (if there are two of them, you burn 4 pool to play your turn), the controller skipping a turn counts towards all his copies. [RTR 19941222]
R0678	100740|Flames of Insurrection.1	If two Anarchs are in combat and both go to torpor, both controllers can benefit from the effect. [ANK 20180627-2]
R0679	100743|Flaming Candle.1	Is not burned if another effect make the vampire burn 1 blood upon action declaration. [RTR 20020501]
